"MonitorDetails","Period","Adjusted.Power","MonitorDetails","Period","Adjusted.Power","MonitorDetails","Period","Adjusted.Power","MonitorDetails","Period","Adjusted.Power","MonitorDetails","Period","Adjusted.Power"
"line1het_LDDD_1_n=32","30.8333333333333","119.455294671738","line1het_LDDD_2_n=15",NA,NA,"WT_LDDD_2_n=8","22.8333333333333","681.97767933541","WT_LDDD_1_n=32","24.1666666666667","82.6357073245131","line1hom_LDDD_1_n=24","17.8333333333333","157.688370379584"
"line1het_LDDD_1_n=32","26.3333333333333","5.66254347600693","line1het_LDDD_2_n=15","30.5","178.161334099766","WT_LDDD_2_n=8","23","743.611206272648","WT_LDDD_1_n=32","22.6666666666667","92.1439232099112","line1hom_LDDD_1_n=24","28.8333333333333","81.493260678946"
"line1het_LDDD_1_n=32",NA,NA,"line1het_LDDD_2_n=15","21.3333333333333","5.41102158485978","WT_LDDD_2_n=8","22.5","1760.90746038533","WT_LDDD_1_n=32","21.8333333333333","236.987770049707","line1hom_LDDD_1_n=24",NA,NA
"line1het_LDDD_1_n=32","21.1666666666667","112.187970231227","line1het_LDDD_2_n=15","19.3333333333333","33.6080326207527","WT_LDDD_2_n=8","22.6666666666667","527.008231886084","WT_LDDD_1_n=32","23","331.824136579639","line1hom_LDDD_1_n=24",NA,NA
"line1het_LDDD_1_n=32","29","857.407719221089","line1het_LDDD_2_n=15","31.6666666666667","293.582172149917","WT_LDDD_2_n=8","30","84.0865804250616","WT_LDDD_1_n=32","22.6666666666667","477.6827805229","line1hom_LDDD_1_n=24",NA,NA
"line1het_LDDD_1_n=32",NA,NA,"line1het_LDDD_2_n=15","29.1666666666667","52.7534008459741","WT_LDDD_2_n=8","22.6666666666667","323.35113237323","WT_LDDD_1_n=32","22.6666666666667","1311.760096367","line1hom_LDDD_1_n=24","18.3333333333333","47.3625622097409"
"line1het_LDDD_1_n=32","20.8333333333333","62.4258216757735","line1het_LDDD_2_n=15","22.6666666666667","323.541515248277","WT_LDDD_2_n=8","21.8333333333333","289.568377124926","WT_LDDD_1_n=32",NA,NA,"line1hom_LDDD_1_n=24","26.5","58.7134799816213"
"line1het_LDDD_1_n=32","20.5","21.7968782568676","line1het_LDDD_2_n=15","24.3333333333333","54.0769553371251","WT_LDDD_2_n=8","22.8333333333333","220.973004242801","WT_LDDD_1_n=32",NA,NA,"line1hom_LDDD_1_n=24","21.8333333333333","40.2453835421163"
"line1het_LDDD_1_n=32","29.3333333333333","61.7043588352569","line1het_LDDD_2_n=15","31.3333333333333","53.1106752206988","WT_LDDD_2_n=8","22.5","991.374421906349","WT_LDDD_1_n=32","22.5","991.374421906349","line1hom_LDDD_1_n=24","26.1666666666667","79.4719086423875"
"line1het_LDDD_1_n=32","30.5","50.2676372358787","line1het_LDDD_2_n=15",NA,NA,"WT_LDDD_2_n=8","29","46.7561438047742","WT_LDDD_1_n=32","29","46.7561438047742","line1hom_LDDD_1_n=24",NA,NA
"line1het_LDDD_1_n=32","30.1666666666667","37.14203008352","line1het_LDDD_2_n=15","26.1666666666667","86.7631185270225","WT_LDDD_2_n=8","22.5","158.742580935458","WT_LDDD_1_n=32","22.5","158.742580935458","line1hom_LDDD_1_n=24","30.5","143.123479919427"
"line1het_LDDD_1_n=32","22.6666666666667","22.3938207370018","line1het_LDDD_2_n=15","21.1666666666667","47.9144068158414","WT_LDDD_2_n=8","22.6666666666667","282.848220268362","WT_LDDD_1_n=32","22.6666666666667","282.848220268362","line1hom_LDDD_1_n=24","25.6666666666667","45.9530634233824"
"line1het_LDDD_1_n=32",NA,NA,"line1het_LDDD_2_n=15","22.5","19.4535733311318","WT_LDDD_2_n=8","22.8333333333333","613.311306873651","WT_LDDD_1_n=32","22.8333333333333","613.311306873651","line1hom_LDDD_1_n=24",NA,NA
"line1het_LDDD_1_n=32","26","84.4984978964821","line1het_LDDD_2_n=15",NA,NA,"WT_LDDD_2_n=8","23.1666666666667","185.78309468024","WT_LDDD_1_n=32","23.1666666666667","185.78309468024","line1hom_LDDD_1_n=24","28.1666666666667","20.9135214504672"
"line1het_LDDD_1_n=32","31.5","67.4135964256561","line1het_LDDD_2_n=15","17.6666666666667","2.85471319904696","WT_LDDD_2_n=8","23","924.482829360994","WT_LDDD_1_n=32","23","924.482829360994","line1hom_LDDD_1_n=24",NA,NA
"line1het_LDDD_1_n=32","25.8333333333333","207.497903128366","line1het_LDDD_2_n=15","25.8333333333333","207.497903128366","WT_LDDD_2_n=8","22.6666666666667","827.692061613944","WT_LDDD_1_n=32","22.6666666666667","827.692061613944","line1hom_LDDD_1_n=24",NA,NA
"line1het_LDDD_1_n=32","22.8333333333333","153.036213543296","line1het_LDDD_2_n=15","22.8333333333333","153.036213543296","WT_LDDD_2_n=8","22.6666666666667","613.41277340154","WT_LDDD_1_n=32","22.6666666666667","613.41277340154","line1hom_LDDD_1_n=24","20.8333333333333","60.3813965253185"
"line1het_LDDD_1_n=32",NA,NA,"line1het_LDDD_2_n=15",NA,NA,"WT_LDDD_2_n=8","22.8333333333333","1104.42013852858","WT_LDDD_1_n=32","22.8333333333333","1104.42013852858","line1hom_LDDD_1_n=24",NA,NA
"line1het_LDDD_1_n=32","22.3333333333333","104.722798825311","line1het_LDDD_2_n=15","22.3333333333333","104.722798825311","WT_LDDD_2_n=8","23.1666666666667","150.238703578912","WT_LDDD_1_n=32","23.1666666666667","150.238703578912","line1hom_LDDD_1_n=24","31.8333333333333","124.397931986366"
"line1het_LDDD_1_n=32","21.5","56.7451994314897","line1het_LDDD_2_n=15","21.5","56.7451994314897","WT_LDDD_2_n=8","22.3333333333333","577.188373514243","WT_LDDD_1_n=32","22.3333333333333","577.188373514243","line1hom_LDDD_1_n=24","20.5","104.383095514908"
"line1het_LDDD_1_n=32","17.6666666666667","56.0794298239232","line1het_LDDD_2_n=15","17.6666666666667","56.0794298239232","WT_LDDD_2_n=8","22.5","892.346514185683","WT_LDDD_1_n=32","22.5","892.346514185683","line1hom_LDDD_1_n=24",NA,NA
"line1het_LDDD_1_n=32","17","5.34026025496951","line1het_LDDD_2_n=15","17","5.34026025496951","WT_LDDD_2_n=8","27.5","50.2032548527059","WT_LDDD_1_n=32","27.5","50.2032548527059","line1hom_LDDD_1_n=24",NA,NA
"line1het_LDDD_1_n=32","29.3333333333333","51.767739327408","line1het_LDDD_2_n=15","29.3333333333333","51.767739327408","WT_LDDD_2_n=8","23.6666666666667","2190.76070864733","WT_LDDD_1_n=32","23.6666666666667","2190.76070864733","line1hom_LDDD_1_n=24","20.5","67.0691214589356"
"line1het_LDDD_1_n=32","21.5","84.5085434004034","line1het_LDDD_2_n=15","21.5","84.5085434004034","WT_LDDD_2_n=8","22.8333333333333","538.054831681344","WT_LDDD_1_n=32","22.8333333333333","538.054831681344","line1hom_LDDD_1_n=24",NA,NA
"line1het_LDDD_1_n=32",NA,NA,"line1het_LDDD_2_n=15",NA,NA,"WT_LDDD_2_n=8","22.8333333333333","136.284452197693","WT_LDDD_1_n=32","22.8333333333333","136.284452197693","line1hom_LDDD_1_n=24",NA,NA
"line1het_LDDD_1_n=32",NA,NA,"line1het_LDDD_2_n=15",NA,NA,"WT_LDDD_2_n=8","22.8333333333333","1280.98058704072","WT_LDDD_1_n=32","22.8333333333333","1280.98058704072","line1hom_LDDD_1_n=24","31.8333333333333","124.397931986366"
"line1het_LDDD_1_n=32","26.1666666666667","47.875369434","line1het_LDDD_2_n=15","26.1666666666667","47.875369434","WT_LDDD_2_n=8","22.1666666666667","304.351742578129","WT_LDDD_1_n=32","22.1666666666667","304.351742578129","line1hom_LDDD_1_n=24","20.5","104.383095514908"
"line1het_LDDD_1_n=32","28.3333333333333","285.098893745883","line1het_LDDD_2_n=15","28.3333333333333","285.098893745883","WT_LDDD_2_n=8","22.5","273.200631020889","WT_LDDD_1_n=32","22.5","273.200631020889","line1hom_LDDD_1_n=24",NA,NA
"line1het_LDDD_1_n=32","28.8333333333333","145.805473835442","line1het_LDDD_2_n=15","28.8333333333333","145.805473835442","WT_LDDD_2_n=8","23.5","389.73819471212","WT_LDDD_1_n=32","23.5","389.73819471212","line1hom_LDDD_1_n=24",NA,NA
"line1het_LDDD_1_n=32","22.6666666666667","559.704522232264","line1het_LDDD_2_n=15","22.6666666666667","559.704522232264","WT_LDDD_2_n=8","23.5","308.092531879751","WT_LDDD_1_n=32","23.5","308.092531879751","line1hom_LDDD_1_n=24","20.5","67.0691214589356"
"line1het_LDDD_1_n=32",NA,NA,"line1het_LDDD_2_n=15",NA,NA,"WT_LDDD_2_n=8","22.6666666666667","512.807144426712","WT_LDDD_1_n=32","22.6666666666667","512.807144426712","line1hom_LDDD_1_n=24",NA,NA
"line1het_LDDD_1_n=32",NA,NA,"line1het_LDDD_2_n=15",NA,NA,"WT_LDDD_2_n=8","22.8333333333333","645.058318256644","WT_LDDD_1_n=32","22.8333333333333","645.058318256644","line1hom_LDDD_1_n=24","24.6666666666667","10.8773427074523"
